target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
532,2011,studi. dual-scal data.,2133,12.2895778069,6.77757588546,-9.07987448434,2.17124665054,4.73525848866,0.0679618333003,
532,2011,studi. dual-scal data.,835,12.2895778069,6.77757588546,-9.07987448434,2.17124665054,4.73525848866,0.0679618333003,
532,2011,studi. dual-scal data.,1093,12.2895778069,6.77757588546,-9.07987448434,2.17124665054,4.73525848866,0.0679618333003,
533,2011,privacy-preserv visual use parallel coordin.,2726,-2.54810419234,-3.01069757173,-10.3802844858,-1.10768762074,4.60361504608,-4.74416503918,
533,2011,privacy-preserv visual use parallel coordin.,1347,-2.54810419234,-3.01069757173,-10.3802844858,-1.10768762074,4.60361504608,-4.74416503918,
533,2011,privacy-preserv visual use parallel coordin.,702,-2.54810419234,-3.01069757173,-10.3802844858,-1.10768762074,4.60361504608,-4.74416503918,
533,2011,privacy-preserv visual use parallel coordin.,2074,-2.54810419234,-3.01069757173,-10.3802844858,-1.10768762074,4.60361504608,-4.74416503918,
533,2011,privacy-preserv visual use parallel coordin.,1308,-2.54810419234,-3.01069757173,-10.3802844858,-1.10768762074,4.60361504608,-4.74416503918,
534,2011,larg. high dimension data.,1738,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,1500,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,1217,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,1082,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,2074,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,2316,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,2726,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,702,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,1347,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
534,2011,larg. high dimension data.,1308,7.46643863146,5.68047453483,-6.53656120948,-0.317133947406,3.9313353914,-3.43160522586,
