target,year,title,source,t_x,t_y,ab_x,ab_y,k_x,k_y
1447,2004,comparison. readabl. graph use node-link.,1650,7.55377855693,-6.48999740345,-6.99143137743,3.44420931575,2.29938923302,-0.449410822515,
1448,2004,histori mechan. visual data mine.,2122,11.6318954454,7.30276641332,-3.45768029909,3.43781201782,0.370610396191,9.33811764628,
1448,2004,histori mechan. visual data mine.,1764,11.6318954454,7.30276641332,-3.45768029909,3.43781201782,0.370610396191,9.33811764628,
1448,2004,histori mechan. visual data mine.,1974,11.6318954454,7.30276641332,-3.45768029909,3.43781201782,0.370610396191,9.33811764628,
1448,2004,histori mechan. visual data mine.,1645,11.6318954454,7.30276641332,-3.45768029909,3.43781201782,0.370610396191,9.33811764628,
1448,2004,histori mechan. visual data mine.,2077,11.6318954454,7.30276641332,-3.45768029909,3.43781201782,0.370610396191,9.33811764628,
1449,2004,knowledg. framework. design. evalu. inform visual.,2410,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1449,2004,knowledg. framework. design. evalu. inform visual.,1632,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1449,2004,knowledg. framework. design. evalu. inform visual.,1650,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1449,2004,knowledg. framework. design. evalu. inform visual.,1840,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1449,2004,knowledg. framework. design. evalu. inform visual.,1624,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1449,2004,knowledg. framework. design. evalu. inform visual.,2702,-3.75216316877,-19.9769449009,-10.5601277087,1.6596244283,9.15874102876,6.17874611237,
1450,2004,rank-by-featur framework. multidimension data explor use low dimension.,2526,6.45147333607,8.33662862696,-2.6835676363,3.91589041469,9.26873866802,6.15717915592,
1450,2004,rank-by-featur framework. multidimension data explor use low dimension.,2726,6.45147333607,8.33662862696,-2.6835676363,3.91589041469,9.26873866802,6.15717915592,
1450,2004,rank-by-featur framework. multidimension data explor use low dimension.,1643,6.45147333607,8.33662862696,-2.6835676363,3.91589041469,9.26873866802,6.15717915592,
